id;id_magic;name_english;name_spanish;image_url
1;mobile partnerships;generate;exploit;iterate Camiseta
2;Profundo Extremadura Gorro;eyeballs;Berkshire Representante Distrito;redundant valor
3;Rupee Hryvnia Acero;Bacon;Granito Calidad;SSL metodologías alarm
4;expedite RSS;uniforme Algodón Orgánico;Técnico state card;nacional línea cross-platform
5;Pizza mobile;Savings multi-byte Sopa;interfaces;estructura Cine capacitor
6;quantify asíncrona Savings;Borders open-source e-business;Oficial;Lituania didactica microchip
7;Oro conglomeración synthesizing;front-end;Polarizado Respuesta Ergonómico;withdrawal tolerancia Comodos
8;deposit Granito Azerbaijanian;Guapo programming;Fantástico Producto;bricks-and-clicks
9;estable Conjunto Tanzanian;Masía Práctico unleash;Adelante web-readiness;Increible fidelidad analizada
10;International Pelota;Técnico Configuración;USB International transform;Plástico
